name,week,year,pass_yards,pass_tds,rush_attempts,rush_yards,rush_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,interceptions,fantasy_points,game_played,rostered_percent
Owen Wright (TB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jordan Mims (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Deneric Prince (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Zavier Scott (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10%
Brady Russell (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Ben VanSumeren (PHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%
Jacob Saylors (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Emari Demercado (ARI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,59.30%
Carlos Washington Jr. (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Lan Larison (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Robbie Ouzts (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Josh Williams (TB),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Ahmani Marshall (CLE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Lucas Scott (BAL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Max Hurleman (PIT),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Deion Hankins (CHI),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Jacardia Wright (SEA),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Brock Lampe (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Kye Robichaux (DET),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Anthony Tyus III (CAR),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Amar Johnson (LAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Nathan Carter (ATL),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
British Brooks (HOU),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Terrell Jennings (NE),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Chris Collier (LV),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Colson Yankoff (WAS),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,1.10%
Kalel Mullings (TEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Jordan James (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Brashard Smith (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,12.70%
Ja'Quinden Jackson (JAC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Kene Nwangwu (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00%
Sincere McCormick (SF),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
Avery Williams (NYJ),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
Keaontay Ingram (KC),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Gary Brightwell (CIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
Corey Kiner (MIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Deuce Vaughn (DEN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
Tyler Goodson (IND),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
Kendall Milton (CIN),1,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
